model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Mean Value,Y801,11.7,10.88,1356.0,0
Random Walk,Y801,17.98,16.07,2005.32,0
Arima,Y801,17.69,16.06,1982.88,0
Theta,Y801,70.03,49.24,6090.0,0
Prophet,Y801,5.44,5.65,611.71,0
Last Value,Y802,14.61,13.32,8940.0,0
Mean Value,Y802,34.12,28.93,18861.0,0
Random Walk,Y802,15.56,14.08,9461.36,0
Arima,Y802,13.17,12.06,8132.89,0
Theta,Y802,61.35,46.7,30240.0,0
Prophet,Y802,6.73,6.37,3559.82,0
Last Value,Y803,18.94,16.95,3987.0,0
Mean Value,Y803,41.0,33.78,7737.3,0
Random Walk,Y803,26.7,22.97,5383.15,0
Arima,Y803,24.94,21.75,5081.58,0
Theta,Y803,82.33,57.27,13149.0,0
Prophet,Y803,11.6,10.8,2021.61,0
Last Value,Y804,2.8,2.71,340.0,0
Mean Value,Y804,2.8,2.71,340.0,0
Random Walk,Y804,2.77,2.67,335.21,0
Arima,Y804,2.78,2.69,337.51,0
Theta,Y804,2.3,2.24,280.0,0
Prophet,Y804,2.99,2.91,331.5,0
Last Value,Y805,33.19,28.3,2174.55,0
Mean Value,Y805,26.27,23.04,1777.7,0
Random Walk,Y805,37.32,31.23,2387.51,0
Arima,Y805,28.89,25.09,1929.89,0
Theta,Y805,36.53,30.58,2317.38,0
Prophet,Y805,5.26,5.47,336.27,0
Last Value,Y806,8.33,8.73,834.0,0
Mean Value,Y806,13.4,14.76,1393.0,0
Random Walk,Y806,7.86,8.11,785.63,0
Arima,Y806,8.18,8.47,818.48,0
Theta,Y806,19.64,21.85,1766.0,0
Prophet,Y806,16.13,17.92,1708.25,0
Last Value,Y807,7.12,6.73,670.69,0
Mean Value,Y807,50.27,40.07,3814.93,0
Random Walk,Y807,3.56,3.5,338.53,0
Arima,Y807,4.09,4.23,231.14,0
Theta,Y807,83.53,58.9,5579.9,0
Prophet,Y807,3.78,3.68,327.09,0
Last Value,Y808,6.89,6.65,827.1,0
Mean Value,Y808,1.72,1.69,212.84,0
Random Walk,Y808,9.14,8.74,1082.27,0
Arima,Y808,6.91,6.66,828.58,0
Theta,Y808,6.13,6.4,783.9,0
Prophet,Y808,2.61,2.65,306.49,0
Last Value,Y809,1.49,1.48,320.99,0
Mean Value,Y809,26.63,23.49,5078.07,0
Random Walk,Y809,4.71,4.87,791.79,0
Arima,Y809,3.3,3.35,538.63,0
Theta,Y809,43.34,35.61,7687.53,0
Prophet,Y809,45.06,36.76,7944.92,0
Last Value,Y810,1.01,1.01,127.51,0
Mean Value,Y810,17.23,15.86,1991.85,0
Random Walk,Y810,4.28,4.18,526.06,0
Arima,Y810,1.11,1.11,105.02,0
Theta,Y810,28.68,25.07,3145.38,0
Prophet,Y810,31.42,27.14,3408.27,0
Last Value,Y811,6.58,6.37,933.4,0
Mean Value,Y811,6.1,5.92,867.29,0
Random Walk,Y811,3.88,3.79,556.07,0
Arima,Y811,6.65,6.44,943.3,0
Theta,Y811,19.84,17.67,2582.5,0
Prophet,Y811,0.98,0.97,126.07,0
Last Value,Y812,2.01,2.04,717.5,0
Mean Value,Y812,31.43,27.16,9644.38,0
Random Walk,Y812,13.27,12.11,4327.01,0
Arima,Y812,8.33,8.71,3098.96,0
Theta,Y812,56.73,44.18,15678.4,0
Prophet,Y812,15.17,14.1,5005.95,0
Last Value,Y813,2.05,2.01,291.7,0
Mean Value,Y813,5.73,5.91,842.16,0
Random Walk,Y813,3.15,3.17,453.3,0
Arima,Y813,2.9,2.85,410.85,0
Theta,Y813,1.77,1.79,180.4,0
Prophet,Y813,2.95,3.01,378.88,0
Last Value,Y814,3.21,3.27,783.6,0
Mean Value,Y814,22.22,19.99,4816.44,0
Random Walk,Y814,7.14,7.47,1791.97,0
Arima,Y814,3.67,3.74,897.88,0
Theta,Y814,33.96,28.99,6987.0,0
Prophet,Y814,33.14,28.42,6845.79,0
Last Value,Y815,2.74,2.78,330.0,0
Mean Value,Y815,12.01,11.33,1350.0,0
Random Walk,Y815,6.73,6.39,750.77,0
Arima,Y815,7.73,8.06,961.36,0
Theta,Y815,18.97,17.17,2040.0,0
Prophet,Y815,8.46,8.85,1054.93,0
Last Value,Y816,6.46,6.71,930.0,0
Mean Value,Y816,8.43,8.06,1137.0,0
Random Walk,Y816,7.93,8.32,1154.77,0
Arima,Y816,9.13,9.65,1337.66,0
Theta,Y816,29.46,25.67,3600.0,0
Prophet,Y816,13.13,14.2,1969.48,0
Last Value,Y817,3.2,3.28,270.0,0
Mean Value,Y817,2.76,2.82,232.0,0
Random Walk,Y817,1.39,1.4,115.39,0
Arima,Y817,2.84,2.9,238.91,0
Theta,Y817,13.78,12.88,1080.0,0
Prophet,Y817,2.19,2.23,183.67,0
Last Value,Y818,16.86,18.49,1330.0,0
Mean Value,Y818,37.38,46.08,3328.0,0
Random Walk,Y818,9.54,10.07,562.12,0
Arima,Y818,15.64,17.05,1225.83,0
Theta,Y818,47.88,63.41,4570.0,0
Prophet,Y818,10.28,10.86,749.82,0
Last Value,Y819,1.8,1.76,250.0,0
Mean Value,Y819,3.43,3.5,482.0,0
Random Walk,Y819,1.61,1.59,222.41,0
Arima,Y819,3.41,3.34,468.49,0
Theta,Y819,20.92,18.53,2590.0,0
Prophet,Y819,4.1,4.21,578.32,0
Last Value,Y820,18.76,16.18,9947.34,0
Mean Value,Y820,35.25,29.19,16774.05,0
Random Walk,Y820,31.03,25.15,15075.92,0
Arima,Y820,22.96,19.64,11785.74,0
Theta,Y820,64.75,48.77,26655.17,0
Prophet,Y820,12.63,12.95,6906.71,0
Last Value,Y821,1.29,1.28,217.6,0
Mean Value,Y821,11.32,10.71,1818.43,0
Random Walk,Y821,1.99,1.98,333.04,0
Arima,Y821,2.04,2.02,343.46,0
Theta,Y821,24.07,21.26,3615.7,0
Prophet,Y821,36.77,31.06,5270.46,0
Last Value,Y822,2.91,2.86,1119.5,0
Mean Value,Y822,9.5,9.07,3539.79,0
Random Walk,Y822,3.88,3.79,1481.98,0
Arima,Y822,2.99,2.95,1150.95,0
Theta,Y822,6.73,6.44,2510.0,0
Prophet,Y822,12.24,11.53,4500.61,0
Last Value,Y823,1.16,1.16,197.5,0
Mean Value,Y823,6.55,6.33,1083.4,0
Random Walk,Y823,2.35,2.4,297.43,0
Arima,Y823,0.91,0.91,132.08,0
Theta,Y823,19.48,17.65,3021.4,0
Prophet,Y823,26.45,23.35,3986.05,0
Last Value,Y824,0.82,0.82,85.81,0
Mean Value,Y824,30.95,26.8,2805.39,0
Random Walk,Y824,2.86,2.84,282.37,0
Arima,Y824,2.19,2.21,184.82,0
Theta,Y824,65.3,49.22,5150.52,0
Prophet,Y824,17.77,16.32,1708.32,0
Last Value,Y825,8.14,7.74,1731.4,0
Mean Value,Y825,75.53,54.77,11892.27,0
Random Walk,Y825,4.72,4.61,442.0,0
Arima,Y825,2.69,2.75,496.51,0
Theta,Y825,162.02,89.51,19379.0,0
Prophet,Y825,64.86,48.92,10627.26,0
Last Value,Y826,1.69,1.67,777.9,0
Mean Value,Y826,11.47,10.84,5040.76,0
Random Walk,Y826,2.81,2.76,1282.61,0
Arima,Y826,1.06,1.06,491.1,0
Theta,Y826,25.21,22.39,10403.4,0
Prophet,Y826,22.96,20.59,9571.72,0
Last Value,Y827,5.65,5.44,2110.0,0
Mean Value,Y827,20.4,18.48,7063.0,0
Random Walk,Y827,4.17,4.05,1339.0,0
Arima,Y827,1.52,1.54,358.22,0
Theta,Y827,24.04,21.46,8170.0,0
Prophet,Y827,1.08,1.08,338.45,0
Last Value,Y828,2.48,2.43,260.0,0
Mean Value,Y828,12.52,13.42,1380.0,0
Random Walk,Y828,4.63,4.87,492.33,0
Arima,Y828,3.53,3.41,365.92,0
Theta,Y828,10.72,11.38,1170.0,0
Prophet,Y828,12.62,13.56,1392.76,0
Last Value,Y829,10.43,9.76,2140.9,0
Mean Value,Y829,76.93,55.51,11828.6,0
Random Walk,Y829,22.74,19.96,4335.87,0
Arima,Y829,2.22,2.19,436.32,0
Theta,Y829,158.95,88.56,18814.3,0
Prophet,Y829,61.62,47.05,10035.09,0
Last Value,Y830,1.88,1.86,570.0,0
Mean Value,Y830,7.36,7.65,2321.0,0
Random Walk,Y830,0.8,0.8,205.06,0
Arima,Y830,3.55,3.48,1064.83,0
Theta,Y830,4.56,4.67,1370.0,0
Prophet,Y830,4.15,4.05,1239.4,0
Last Value,Y831,2.44,2.39,170.0,0
Mean Value,Y831,2.13,2.17,150.0,0
Random Walk,Y831,3.59,3.5,248.39,0
Arima,Y831,5.07,4.93,347.81,0
Theta,Y831,4.66,4.84,330.0,0
Prophet,Y831,3.3,3.38,234.11,0
Last Value,Y832,6.29,6.5,1060.0,0
Mean Value,Y832,1.46,1.48,240.0,0
Random Walk,Y832,2.9,2.96,417.01,0
Arima,Y832,6.67,6.91,1126.52,0
Theta,Y832,8.15,7.82,1280.0,0
Prophet,Y832,6.66,6.9,1125.03,0
Last Value,Y833,4.29,4.38,990.0,0
Mean Value,Y833,13.66,14.66,3312.0,0
Random Walk,Y833,4.24,4.34,979.28,0
Arima,Y833,3.45,3.52,794.06,0
Theta,Y833,8.08,8.57,1940.0,0
Prophet,Y833,5.71,5.89,1331.38,0
Last Value,Y834,1.42,1.4,490.0,0
Mean Value,Y834,4.28,4.18,1455.0,0
Random Walk,Y834,0.54,0.54,156.92,0
Arima,Y834,2.32,2.29,798.69,0
Theta,Y834,16.11,14.85,5160.0,0
Prophet,Y834,1.73,1.76,603.32,0
Last Value,Y835,32.99,41.66,10457.0,0
Mean Value,Y835,14.46,13.85,3962.74,0
Random Walk,Y835,27.41,33.56,8349.79,0
Arima,Y835,30.22,37.72,9391.82,0
Theta,Y835,21.6,19.14,5664.2,0
Prophet,Y835,20.97,25.23,5566.48,0
Last Value,Y836,9.95,9.83,4984.4,0
Mean Value,Y836,35.14,29.59,15470.26,0
Random Walk,Y836,5.73,5.89,2716.37,0
Arima,Y836,10.83,10.54,5412.91,0
Theta,Y836,53.52,42.19,21518.49,0
Prophet,Y836,7.85,8.34,3097.48,0
Last Value,Y837,1.74,1.72,231.3,0
Mean Value,Y837,15.05,13.99,1874.8,0
Random Walk,Y837,2.12,2.1,280.17,0
Arima,Y837,1.4,1.39,187.37,0
Theta,Y837,30.63,26.49,3552.6,0
Prophet,Y837,36.36,30.76,4119.78,0
Last Value,Y838,2.81,2.85,504.9,0
Mean Value,Y838,3.69,3.76,665.93,0
Random Walk,Y838,1.18,1.19,207.95,0
Arima,Y838,4.04,4.13,730.62,0
Theta,Y838,6.77,7.13,1258.8,0
Prophet,Y838,1.33,1.31,232.96,0
Last Value,Y839,1.24,1.23,202.6,0
Mean Value,Y839,0.69,0.69,113.85,0
Random Walk,Y839,3.41,3.34,551.04,0
Arima,Y839,1.34,1.33,220.01,0
Theta,Y839,5.97,6.15,1003.1,0
Prophet,Y839,6.76,6.53,1076.91,0
Last Value,Y840,2.54,2.51,617.9,0
Mean Value,Y840,19.12,17.45,4298.79,0
Random Walk,Y840,2.39,2.38,586.32,0
Arima,Y840,1.89,1.87,460.57,0
Theta,Y840,47.18,38.13,9395.3,0
Prophet,Y840,17.96,16.48,4059.22,0
Last Value,Y841,8.96,8.53,1875.1,0
Mean Value,Y841,41.34,34.23,7453.07,0
Random Walk,Y841,2.82,2.84,605.97,0
Arima,Y841,4.54,4.43,814.82,0
Theta,Y841,73.63,53.79,11674.0,0
Prophet,Y841,33.49,28.66,6242.79,0
Last Value,Y842,11.3,10.88,2282.28,0
Mean Value,Y842,93.44,63.56,13084.68,0
Random Walk,Y842,17.28,15.69,3114.15,0
Arima,Y842,12.48,13.39,1652.17,0
Theta,Y842,167.91,91.28,18646.95,0
Prophet,Y842,79.7,56.83,11722.85,0
Last Value,Y843,0.75,0.75,178.7,0
Mean Value,Y843,2.9,2.85,678.52,0
Random Walk,Y843,1.78,1.79,288.54,0
Arima,Y843,0.86,0.86,203.18,0
Theta,Y843,4.71,4.55,1086.5,0
Prophet,Y843,7.96,7.65,1816.71,0
Last Value,Y844,5.03,4.91,750.5,0
Mean Value,Y844,1.85,1.87,285.69,0
Random Walk,Y844,2.42,2.37,362.79,0
Arima,Y844,4.6,4.5,687.53,0
Theta,Y844,3.49,3.58,528.7,0
Prophet,Y844,0.88,0.88,132.99,0
Last Value,Y845,1.87,1.85,574.2,0
Mean Value,Y845,7.75,7.46,2312.53,0
Random Walk,Y845,4.27,4.16,1290.6,0
Arima,Y845,1.65,1.63,507.37,0
Theta,Y845,26.71,23.51,7289.4,0
Prophet,Y845,14.0,13.08,4053.18,0
Last Value,Y846,11.94,11.1,5570.0,0
Mean Value,Y846,9.41,8.94,4454.0,0
Random Walk,Y846,9.27,8.73,4395.46,0
Arima,Y846,12.29,11.4,5722.03,0
Theta,Y846,15.93,14.49,7260.0,0
Prophet,Y846,6.86,6.83,3219.1,0
Last Value,Y847,9.01,8.55,1860.0,0
Mean Value,Y847,24.72,28.58,5883.0,0
Random Walk,Y847,28.6,24.17,5266.89,0
Arima,Y847,20.13,18.01,3898.16,0
Theta,Y847,28.45,33.68,6930.0,0
Prophet,Y847,10.01,10.11,2092.59,0
Last Value,Y848,8.31,7.86,890.0,0
Mean Value,Y848,7.82,7.42,840.0,0
Random Walk,Y848,10.05,9.36,1062.16,0
Arima,Y848,8.44,7.97,902.92,0
Theta,Y848,29.61,25.42,2830.0,0
Prophet,Y848,4.63,4.65,494.83,0
Last Value,Y849,3.33,3.26,640.0,0
Mean Value,Y849,8.73,8.32,1620.0,0
Random Walk,Y849,2.52,2.51,436.21,0
Arima,Y849,3.7,3.6,708.18,0
Theta,Y849,28.29,24.58,4770.0,0
Prophet,Y849,3.58,3.53,652.14,0
Last Value,Y850,6.97,6.7,3140.0,0
Mean Value,Y850,22.06,19.84,9215.0,0
Random Walk,Y850,20.24,18.01,8396.76,0
Arima,Y850,19.21,17.41,8121.57,0
Theta,Y850,48.94,39.27,18140.0,0
Prophet,Y850,6.28,6.49,2419.79,0
Last Value,Y851,7.34,7.05,1270.0,0
Mean Value,Y851,32.9,28.23,5044.0,0
Random Walk,Y851,16.25,14.76,2664.48,0
Arima,Y851,9.06,8.62,1552.66,0
Theta,Y851,57.44,44.61,7960.0,0
Prophet,Y851,6.76,7.02,945.5,0
Last Value,Y852,2.39,2.35,176.0,0
Mean Value,Y852,12.5,11.75,874.1,0
Random Walk,Y852,1.6,1.58,88.36,0
Arima,Y852,0.8,0.81,28.98,0
Theta,Y852,17.56,16.13,1199.0,0
Prophet,Y852,1.71,1.73,81.61,0
Last Value,Y853,1.32,1.33,350.0,0
Mean Value,Y853,16.66,15.37,4061.0,0
Random Walk,Y853,2.59,2.6,563.6,0
Arima,Y853,1.74,1.76,421.9,0
Theta,Y853,22.22,19.9,5240.0,0
Prophet,Y853,8.01,8.37,2216.08,0
Last Value,Y854,56.69,43.61,12792.58,0
Mean Value,Y854,38.82,31.75,9526.27,0
Random Walk,Y854,70.49,51.15,14984.98,0
Arima,Y854,44.71,36.07,10630.97,0
Theta,Y854,35.43,29.42,5535.62,0
Prophet,Y854,14.42,13.32,3917.71,0
Last Value,Y855,5.21,5.08,795.51,0
Mean Value,Y855,30.9,26.72,4160.16,0
Random Walk,Y855,14.64,13.19,2071.3,0
Arima,Y855,6.76,6.48,1024.39,0
Theta,Y855,102.88,67.9,10542.29,0
Prophet,Y855,23.24,26.44,4101.85,0
Last Value,Y856,5.38,5.35,2757.8,0
Mean Value,Y856,130.85,79.08,40694.87,0
Random Walk,Y856,11.53,11.04,5298.19,0
Arima,Y856,9.44,8.87,4734.05,0
Theta,Y856,162.25,89.53,46024.6,0
Prophet,Y856,47.24,37.93,19617.65,0
Last Value,Y857,1.92,1.9,270.0,0
Mean Value,Y857,6.28,6.06,856.0,0
Random Walk,Y857,15.66,17.24,1981.14,0
Arima,Y857,6.71,6.45,912.51,0
Theta,Y857,26.87,23.68,3310.0,0
Prophet,Y857,16.82,18.37,2570.47,0
Last Value,Y858,2.8,2.75,278.6,0
Mean Value,Y858,12.61,11.84,1189.03,0
Random Walk,Y858,1.55,1.54,155.11,0
Arima,Y858,3.16,3.1,313.38,0
Theta,Y858,22.85,20.47,2054.6,0
Prophet,Y858,4.59,4.71,337.46,0
Last Value,Y859,4.97,5.13,319.0,0
Mean Value,Y859,12.52,13.42,842.1,0
Random Walk,Y859,5.6,5.85,339.2,0
Arima,Y859,5.13,5.3,329.51,0
Theta,Y859,10.23,10.91,481.0,0
Prophet,Y859,1.1,1.09,70.84,0
Last Value,Y860,1.95,1.97,195.01,0
Mean Value,Y860,3.22,3.17,314.15,0
Random Walk,Y860,3.2,3.26,322.85,0
Arima,Y860,1.66,1.67,165.84,0
Theta,Y860,9.08,8.65,857.57,0
Prophet,Y860,13.31,12.48,1236.31,0
Last Value,Y861,1.13,1.14,86.13,0
Mean Value,Y861,16.03,14.84,1126.74,0
Random Walk,Y861,1.95,1.98,142.16,0
Arima,Y861,1.56,1.57,119.06,0
Theta,Y861,32.39,27.85,2114.01,0
Prophet,Y861,37.1,31.29,2375.21,0
Last Value,Y862,3.24,3.31,345.32,0
Mean Value,Y862,31.17,26.94,2875.54,0
Random Walk,Y862,4.49,4.63,461.13,0
Arima,Y862,8.85,9.26,986.15,0
Theta,Y862,57.03,44.37,4727.17,0
Prophet,Y862,13.34,12.48,1336.48,0
Last Value,Y863,3.15,3.08,1229.89,0
Mean Value,Y863,21.81,19.64,7721.8,0
Random Walk,Y863,2.51,2.56,843.12,0
Arima,Y863,1.03,1.04,330.11,0
Theta,Y863,33.94,29.02,11384.14,0
Prophet,Y863,34.48,29.37,11541.32,0
Last Value,Y864,1.36,1.35,210.9,0
Mean Value,Y864,13.09,12.28,1923.13,0
Random Walk,Y864,1.0,1.0,152.41,0
Arima,Y864,0.7,0.7,110.19,0
Theta,Y864,23.76,21.14,3310.2,0
Prophet,Y864,31.35,27.1,4243.23,0
Last Value,Y865,1.08,1.07,436.2,0
Mean Value,Y865,40.24,33.5,13517.95,0
Random Walk,Y865,3.47,3.59,1334.68,0
Arima,Y865,5.41,5.58,2013.26,0
Theta,Y865,67.66,50.51,20369.2,0
Prophet,Y865,20.44,18.54,7484.61,0
Last Value,Y866,8.75,8.3,1419.22,0
Mean Value,Y866,70.87,52.3,8782.57,0
Random Walk,Y866,20.73,18.49,3122.43,0
Arima,Y866,1.2,1.21,179.5,0
Theta,Y866,140.71,82.54,13856.92,0
Prophet,Y866,36.0,30.47,5126.47,0
Last Value,Y867,7.66,7.3,5417.2,0
Mean Value,Y867,52.4,41.49,30225.36,0
Random Walk,Y867,4.12,4.21,2554.62,0
Arima,Y867,0.59,0.59,443.37,0
Theta,Y867,93.57,63.73,46282.9,0
Prophet,Y867,32.36,27.81,20292.02,0
Last Value,Y868,9.74,9.1,2470.0,0
Mean Value,Y868,10.68,9.93,2693.0,0
Random Walk,Y868,13.06,11.97,3239.56,0
Arima,Y868,13.75,12.59,3398.83,0
Theta,Y868,34.09,28.74,7610.0,0
Prophet,Y868,7.42,7.22,1909.71,0
Last Value,Y869,13.51,12.65,9877.7,0
Mean Value,Y869,31.12,26.93,21018.95,0
Random Walk,Y869,8.24,7.88,6150.37,0
Arima,Y869,12.09,11.4,8900.31,0
Theta,Y869,44.48,36.34,28366.1,0
Prophet,Y869,51.4,40.89,31917.28,0
Last Value,Y870,5.3,5.09,1210.0,0
Mean Value,Y870,23.12,20.66,4793.0,0
Random Walk,Y870,8.45,7.87,1838.33,0
Arima,Y870,11.49,10.67,2519.99,0
Theta,Y870,40.02,33.3,7640.0,0
Prophet,Y870,10.31,10.88,2165.54,0
Last Value,Y871,11.29,10.55,2290.0,0
Mean Value,Y871,22.31,19.96,4270.0,0
Random Walk,Y871,8.21,7.8,1594.48,0
Arima,Y871,15.35,14.09,3042.36,0
Theta,Y871,46.68,37.79,8020.0,0
Prophet,Y871,8.16,7.76,1663.21,0
Last Value,Y872,0.98,0.98,190.9,0
Mean Value,Y872,14.65,13.64,2665.28,0
Random Walk,Y872,6.63,6.32,1241.79,0
Arima,Y872,0.9,0.91,174.77,0
Theta,Y872,18.29,16.58,3223.4,0
Prophet,Y872,28.47,24.91,4864.75,0
Last Value,Y873,6.14,5.91,1186.76,0
Mean Value,Y873,48.51,39.01,7711.4,0
Random Walk,Y873,4.79,4.62,764.88,0
Arima,Y873,1.67,1.68,125.1,0
Theta,Y873,91.22,62.64,12353.84,0
Prophet,Y873,32.01,27.57,5453.98,0
Last Value,Y874,23.58,21.43,5812.2,0
Mean Value,Y874,53.34,41.16,11233.13,0
Random Walk,Y874,20.13,18.69,4484.61,0
Arima,Y874,23.85,21.52,5872.68,0
Theta,Y874,68.75,51.02,13271.1,0
Prophet,Y874,15.92,15.63,3979.09,0
Last Value,Y875,7.77,7.38,681.15,0
Mean Value,Y875,33.98,28.98,2617.35,0
Random Walk,Y875,9.64,8.99,803.51,0
Arima,Y875,5.03,4.85,390.98,0
Theta,Y875,40.66,33.41,2969.65,0
Prophet,Y875,9.73,10.24,642.19,0
Last Value,Y876,10.0,9.49,3607.05,0
Mean Value,Y876,40.2,33.46,12651.33,0
Random Walk,Y876,25.14,21.39,8170.38,0
Arima,Y876,10.23,9.71,3687.72,0
Theta,Y876,22.84,19.42,6824.91,0
Prophet,Y876,2.92,2.88,794.41,0
Last Value,Y877,31.42,31.01,5201.83,0
Mean Value,Y877,34.15,31.2,5612.85,0
Random Walk,Y877,35.78,34.09,5487.55,0
Arima,Y877,41.93,35.68,6665.64,0
Theta,Y877,13.01,12.29,1866.1,0
Prophet,Y877,28.47,32.05,4691.45,0
Last Value,Y878,29.8,26.3,3182.61,0
Mean Value,Y878,53.19,41.09,5108.01,0
Random Walk,Y878,31.31,27.24,3312.07,0
Arima,Y878,29.09,25.99,3114.91,0
Theta,Y878,82.95,58.11,7048.09,0
Prophet,Y878,21.65,20.16,2373.98,0
Last Value,Y879,10.77,10.02,5351.46,0
Mean Value,Y879,29.49,25.4,13147.65,0
Random Walk,Y879,10.8,10.12,5104.3,0
Arima,Y879,17.01,15.24,8113.77,0
Theta,Y879,47.73,38.52,19347.82,0
Prophet,Y879,9.9,10.56,3559.62,0
Last Value,Y880,13.33,12.28,1249.4,0
Mean Value,Y880,36.79,30.92,3064.13,0
Random Walk,Y880,23.37,20.48,2052.31,0
Arima,Y880,6.94,6.46,548.83,0
Theta,Y880,51.08,40.57,4002.5,0
Prophet,Y880,4.23,3.86,405.57,0
Last Value,Y881,6.11,5.87,1271.0,0
Mean Value,Y881,47.2,38.14,8070.67,0
Random Walk,Y881,9.35,9.21,1646.7,0
Arima,Y881,10.25,9.66,2076.67,0
Theta,Y881,117.49,73.92,15606.0,0
Prophet,Y881,15.72,17.54,3639.0,0
Last Value,Y882,8.61,8.11,706.0,0
Mean Value,Y882,10.79,10.1,872.8,0
Random Walk,Y882,9.6,9.02,520.05,0
Arima,Y882,20.96,18.67,1603.25,0
Theta,Y882,31.23,26.97,2278.0,0
Prophet,Y882,4.27,4.41,357.06,0
Last Value,Y883,16.25,14.89,4760.0,0
Mean Value,Y883,38.77,32.38,10223.0,0
Random Walk,Y883,14.68,13.49,4333.76,0
Arima,Y883,8.3,7.9,2369.77,0
Theta,Y883,61.02,46.7,14690.0,0
Prophet,Y883,11.46,10.8,2896.52,0
Last Value,Y884,7.09,6.72,1187.0,0
Mean Value,Y884,20.39,18.39,3163.1,0
Random Walk,Y884,15.55,14.03,2458.43,0
Arima,Y884,14.93,13.63,2378.69,0
Theta,Y884,44.61,36.41,6209.0,0
Prophet,Y884,4.49,4.63,591.41,0
Last Value,Y885,8.25,7.78,1450.0,0
Mean Value,Y885,73.6,53.75,9632.37,0
Random Walk,Y885,14.95,13.65,2377.06,0
Arima,Y885,6.9,6.56,1224.12,0
Theta,Y885,116.22,73.45,13104.47,0
Prophet,Y885,4.36,4.55,568.82,0
Last Value,Y886,9.11,8.6,860.0,0
Mean Value,Y886,3.85,3.7,380.0,0
Random Walk,Y886,5.12,5.14,366.19,0
Arima,Y886,5.84,5.57,564.34,0
Theta,Y886,26.34,30.38,2950.0,0
Prophet,Y886,35.44,29.84,2937.22,0
Last Value,Y887,6.09,5.8,457.0,0
Mean Value,Y887,19.11,17.34,1327.2,0
Random Walk,Y887,6.89,6.52,495.02,0
Arima,Y887,12.87,11.9,922.88,0
Theta,Y887,29.64,25.79,1956.0,0
Prophet,Y887,2.97,3.03,189.89,0
Last Value,Y888,3.94,3.84,912.7,0
Mean Value,Y888,33.09,28.38,6671.4,0
Random Walk,Y888,2.68,2.66,595.65,0
Arima,Y888,2.09,2.06,406.42,0
Theta,Y888,54.8,43.02,10101.1,0
Prophet,Y888,16.05,14.84,3493.4,0
Last Value,Y889,11.35,10.46,5602.99,0
Mean Value,Y889,92.9,63.37,32245.95,0
Random Walk,Y889,4.61,4.47,2352.12,0
Arima,Y889,6.43,6.66,2012.71,0
Theta,Y889,168.46,91.43,46324.42,0
Prophet,Y889,82.43,58.29,29684.84,0
Last Value,Y890,10.1,9.57,1043.8,0
Mean Value,Y890,21.43,19.33,2097.16,0
Random Walk,Y890,7.91,7.57,825.46,0
Arima,Y890,9.82,9.32,1016.71,0
Theta,Y890,45.74,37.21,4027.3,0
Prophet,Y890,45.29,36.88,3995.2,0
Last Value,Y891,1.98,1.95,144.69,0
Mean Value,Y891,22.16,19.95,1466.94,0
Random Walk,Y891,8.93,8.36,619.0,0
Arima,Y891,0.66,0.66,41.96,0
Theta,Y891,48.96,39.22,2886.18,0
Prophet,Y891,37.69,31.7,2331.32,0
Last Value,Y892,2.71,2.68,197.75,0
Mean Value,Y892,16.98,15.65,1154.92,0
Random Walk,Y892,4.47,4.36,322.09,0
Arima,Y892,0.72,0.72,38.05,0
Theta,Y892,45.28,36.92,2724.38,0
Prophet,Y892,44.5,36.39,2685.84,0
Last Value,Y893,9.26,8.82,4329.19,0
Mean Value,Y893,62.86,47.81,23327.76,0
Random Walk,Y893,14.61,13.52,6607.25,0
Arima,Y893,1.33,1.32,401.97,0
Theta,Y893,114.02,72.59,35368.54,0
Prophet,Y893,34.49,29.41,14354.37,0
Last Value,Y894,6.4,6.18,1080.27,0
Mean Value,Y894,24.27,21.63,3757.41,0
Random Walk,Y894,3.8,3.72,529.16,0
Arima,Y894,1.76,1.75,177.86,0
Theta,Y894,35.69,30.26,5238.9,0
Prophet,Y894,42.83,35.25,6120.48,0
Last Value,Y895,10.25,9.62,2938.64,0
Mean Value,Y895,80.6,57.41,17100.96,0
Random Walk,Y895,6.84,6.59,1438.97,0
Arima,Y895,1.16,1.17,343.98,0
Theta,Y895,146.87,84.65,25132.49,0
Prophet,Y895,46.78,37.86,11299.19,0
Last Value,Y896,5.17,5.04,500.0,0
Mean Value,Y896,6.94,6.71,666.05,0
Random Walk,Y896,4.77,4.65,461.8,0
Arima,Y896,5.33,5.19,515.32,0
Theta,Y896,11.25,10.64,1056.5,0
Prophet,Y896,12.0,11.31,1123.01,0
Last Value,Y897,27.17,33.81,9100.0,0
Mean Value,Y897,68.94,112.52,32610.0,0
Random Walk,Y897,33.93,29.67,8854.26,0
Arima,Y897,27.08,33.62,9061.84,0
Theta,Y897,43.69,62.82,16200.0,0
Prophet,Y897,81.51,146.7,42984.75,0
Last Value,Y898,43.15,59.01,22800.0,0
Mean Value,Y898,42.7,57.61,22490.0,0
Random Walk,Y898,75.04,95.29,28780.29,0
Arima,Y898,40.91,51.12,21339.93,0
Theta,Y898,138.81,80.11,45100.0,0
Prophet,Y898,84.7,186.55,70969.75,0
Last Value,Y899,43.44,58.31,1590.0,0
Mean Value,Y899,99.98,206.73,5865.0,0
Random Walk,Y899,49.98,77.74,2031.94,0
